央视,#genre# 

CCTV1 综合,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8 
CCTV2 财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8 
CCTV2 财经,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8 
CCTV3 综艺,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8 
CCTV4 中文国际,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8 
CCTV5 体育,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8 
CCTV5+ 赛事,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8 
CCTV6 电影,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8 
CCTV7 国防军事,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8 
CCTV8 电视剧,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8 
CCTV9 纪录,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8 
CCTV10 科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8 
CCTV11 戏曲,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8 
CCTV12 社会与法,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8 
CCTV13 新闻,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8 
CCTV13 新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8 
CCTV14 少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8 
CCTV15 音乐,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8 
CCTV17 农业农村,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8 
